name1,score1,score2,name2
Fedotov Alexey,0.5,0.5,Matyunin Maxim
Dzyga Artem,0,1,Geshko Aleksey
Bujakevich Aleksandr,0,1,Rozanov Pavel B.
Skorodelov Semen,1,0,Sibajeva Marija
Smaglov Konstantin,0,1,Ageichenko Genadi A
Efremov Vladislav,0.5,0.5,Mamatov Melis
Pogorelskikh Sergey,0,1,Samadov Read
Pranizin Gennady,1,0,Ivanov Artem T.
Vasilyev Alexey,0,1,Marinskii Yurii
Shaydullina Sandugach,1,0,Buniatyan David
Pavlov Mark,0,1,Sattarov Bobir
Syrchikov Alexander,0.5,0.5,Priyanka K
Pogosyan Stefan,1,0,Yangutov Aleksey
Ter-Saakian Grigorii,0.5,0.5,Volovich Vasily
Kholopov Alexander A.,0.5,0.5,Mochalin Faddey
Dudin Gleb,0.5,0.5,Kovalev Egor
Marzano Carlo,0.5,0.5,Vetokhin Ilia
Tugarin Anton,1,0,Lauda Alexandr
Mrykhin Igor,0,1,Khmelev Mikhail
Astafurov Arseniy,1,0,Larina Marija
Zavialov Nikita A.,0,1,Gavrilin Roman
Atakishiyev Elmar,0.5,0.5,Vysotskiy Oleg
Martynyuk Elizaveta,1,0,Khelemendik Roman
Vrtiakova Anna,0.5,0.5,Shuvalov Evgenij
Burhanov Vassily,0,1,Yeritsyan Hayk
Ufimtsev Egor,1,0,Sokolov Ilia
Vinogradov Vladimir,1,0,Kirushin Ivan
Ahmadov Orkhan,1,0,Kirillov Dmitry
Savchenko Boris,0.5,0.5,Nabaty Tamir
Mozharov Mikhail,0.5,0.5,Shukh Nikolai
Afanasiev Nikita,0.5,0.5,Bocharov Ivan
Urazayev Arystanbek,1,0,Tsydypov Zhamsaran
Bryakin Mikhail,0.5,0.5,Sindarov Javokhir
Grachev Boris,0,1,Dvalishvili Pavel S.
Drygalov Sergey,0.5,0.5,Kokarev Dmitry
Vavulin Maksim,0.5,0.5,Harutjunyan Gevorg
Murtazin Bulat,0,1,Frolyanov Dmitry
Timofeev Artyom,0.5,0.5,Kardashevskiy Evgeny
Levin Evgeny A.,0.5,0.5,Vokhidov Shamsiddin
Lomasov Semen,1,0,Schekachikhin Maksim
Ladva Ottomar,1,0,Kalashian David
Sorokin Aleksey,0.5,0.5,Palachev Petr
Matinian Nikita,1,0,Malyshev Grigory
Li Hong,0.5,0.5,Belyakov Bogdan
Mammadzada Gunay,1,0,Golubov Saveliy
Shinkevich Vitaly,0,1,Bykov Egor
Lobanov Sergei,0.5,0.5,Babarykin Stanislav
Balajayeva Khanim,0,1,Drygalov Andrey
Gaifullin Artur,1,0,Lesovoi Evgenij
Cherenkov Andrey,0,1,Samusenko Maksim
Rakshitta Ravi,1,0,Zakaryan David
Fakhrutdinov Timur,1,0,Shoboev Dandar
Karpenko Artem,0,1,Boruchovsky Avital
Gukesh D,1,0,Iljiushenok Ilia
Skatchkov Valery,0.5,0.5,Khegay Dmitriy
Sirosh Ilja,1,0,Usmanov Vasily
Zakhartsov Vladimir,1,0,Tarasov Alexandr
Erdenepurev Boldoo,0,1,Khanin Semen
Baghdasaryan Vahe,0.5,0.5,Smirnov Timofey
Sakulo Denis,0,1,Ushenina Anna
Faizrakhmanov Ramil,0.5,0.5,Avalyan Artur
